绿里奇迹,1999,8.9,390127人评价
爱在午夜降临前,2013,8.9,476341人评价
疯狂的石头,2006,8.6,929380人评价
雨中曲,1952,9.1,270338人评价
2001太空漫游,1968,8.9,398955人评价
海街日记,2015,8.8,523802人评价
风之谷,1984,8.9,394902人评价
上帝之城,2002,9.0,334633人评价
心迷宫,2014,8.7,620651人评价
英雄本色,1986,8.6,608518人评价
记忆碎片,2000,8.7,672197人评价
纵横四海,1991,8.8,475897人评价
无敌破坏王,2012,8.7,614439人评价
卢旺达饭店,2004,8.9,368555人评价
牯岭街少年杀人事件,1991,8.9,371793人评价
恐怖游轮,2009,8.5,994693人评价
东京教父,2003,9.0,293140人评价
小偷家族,2018,8.7,897962人评价
魔女宅急便,1989,8.7,527052人评价
冰川时代,2002,8.7,688257人评价
芙蓉镇,1987,9.3,191407人评价
忠犬八公物语,1987,9.2,219615人评价
岁月神偷,2010,8.7,614045人评价
遗愿清单,2007,8.7,541386人评价
荒蛮故事,2014,8.7,520412人评价
大佛普拉斯,2017,8.7,557023人评价
源代码,2011,8.6,930093人评价
花束般的恋爱,2021,8.6,834019人评价
白日梦想家,2013,8.6,653529人评价
爱乐之城,2016,8.4,1126207人评价
疯狂的麦克斯4：狂暴之路,2015,8.7,621181人评价
可可西里,2004,8.9,348099人评价
你看起来好像很好吃,2010,8.9,377455人评价
贫民窟的百万富翁,2008,8.6,808989人评价
波西米亚狂想曲,2018,8.6,693568人评价
城市之光,1931,9.3,173991人评价
爆裂鼓手,2014,8.6,694464人评价
青蛇,1993,8.6,603466人评价
哈利·波特与死亡圣器(上),2010,8.6,699619人评价
无耻混蛋,2009,8.7,566058人评价
东邪西毒,1994,8.6,637423人评价
终结者2：审判日,1991,8.8,387925人评价
大红灯笼高高挂,1991,8.8,375426人评价
黑天鹅,2010,8.6,849729人评价
新龙门客栈,1992,8.7,512588人评价
初恋这件小事,2010,8.5,1054698人评价
千钧一发,1997,8.8,352814人评价
人工智能,2001,8.7,505121人评价
崖上的波妞,2008,8.6,578247人评价
雨人,1988,8.7,444632人评价
虎口脱险,1966,8.9,297794人评价
哈利·波特与凤凰社,2007,8.6,699554人评价
彗星来的那一夜,2013,8.6,689184人评价
罗生门,1950,8.8,360140人评价
海边的曼彻斯特,2016,8.6,656879人评价
恋恋笔记本,2004,8.5,752725人评价
火星救援,2015,8.5,841490人评价
真爱至上,2003,8.5,810754人评价
黑客帝国2：重装上阵,2003,8.7,457692人评价
冰雪奇缘,2013,8.5,835448人评价
步履不停,2008,8.8,329865人评价
奇迹男孩,2017,8.6,602725人评价
千年女优,2001,8.8,319841人评价
谍影重重2,2004,8.7,401777人评价
战争之王,2005,8.7,417426人评价
蜘蛛侠：平行宇宙,2018,8.6,760459人评价
攻壳机动队,1995,9.0,219869人评价
血钻,2006,8.7,423593人评价
小姐,2016,8.5,580635人评价
隐藏人物,2016,8.9,274792人评价
血观音,2017,8.6,567726人评价
魂断蓝桥,1940,8.8,311986人评价
房间,2015,8.7,401310人评价
